skos:prefLabel,skos:altLabel
Alcohol abuse,Alcoholism
Alcohol abuse,Alcohol misuse
Alcohol abuse,Problem drinking
Alcohol abuse,Harmful drinking
Alcohol abuse,Alcohol dependency
Domestic violence,Domestic abuse
Drug misuse,Drug addiction
Drug misuse,Drug dependency
Drug misuse,Drug abuse
Diet and nutrition,Poor diet
Diet and nutrition,Poor eating habits
Smoking,Tobacco use
Physical activity,Physical inactivity
Physical activity,Lack of physical exercise
Physical activity,Lack of exercise
Physical activity,Physical exercise
This isn't in the main list,Top level
